Campanha;Grupo de anuncio;Tipo;Keyword;Correspondencia;Buscas/mes BR;Lance min (R$);Lance max (R$);Estagio;Prioridade;Observacao
Todas (lista compartilhada);—;Negativa;vaga;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;vagas;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;emprego;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;salario;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;curriculo;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;trainee;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;freelancer;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;jobs;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;job;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;curso;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;cursos;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;certificacao;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;certificação;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;treinamento;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;tutorial;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;manual;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;apostila;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;pdf;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;udemy;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;opensap;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;learning;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;o que é (só Search consultoria);Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;login;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;download;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;baixar;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;trial;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;gratis;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;grátis;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;free;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;sap help;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;note;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;registro;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;pequenas empresas;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;pequena empresa;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;micro;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;mei;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;pessoal;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;planilha;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;planilhas;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;excel;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;business one;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;omie;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;totvs;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;fluig;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;gesplan;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;perplexity;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;chatgpt;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;lasy ai;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;2short ai;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;automação de ia;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;ai automation;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;marketing cloud;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;abap;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;fiori;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;mm;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;sd;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;wm;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;wms;Frase;;;;—;—;
Todas (lista compartilhada);—;Negativa;ariba;Frase;;;;—;—;
