"type","url","page_title","title_len","meta_len","h1_count","img_total","img_no_alt","alt_pct","internal_links","schema_types","blogposting_incorreto","tech_score_30"
"pages","https://solveplan.com/cookies/","Cookies","19","151","0","8","8","0%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12"
"pages","https://solveplan.com/blog/","Blog","16","0","0","18","8","56%","54","Place;PostalAddress;Organization;ImageObject;WebSite;CollectionPage","False","12,4"
"pages","https://solveplan.com/consolidacao/","Consolidação","24","154","0","9","8","11%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12,7"
"pages","https://solveplan.com/contato/","Contato","19","7","0","8","7","12%","41","Place;PostalAddress;Organization;ImageObject;WebSite;ContactPage","False","12,7"
"pages","https://solveplan.com/investimentos/","INVESTIMENTOS","25","154","0","8","7","12%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12,7"
"pages","https://solveplan.com/people-analytics/","PEOPLE ANALYTICS","28","154","0","8","7","12%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","12,7"
"pages","https://solveplan.com/","Home","16","44","0","31","10","68%","45","Place;PostalAddress;Organization;ImageObject;WebSite;SearchAction;WebPage;Person;BlogPosting","True","13,1"
"pages","https://solveplan.com/sobre-nos/","Sobre Nós","21","9","0","32","14","56%","41","Place;PostalAddress;Organization;ImageObject;WebSite;AboutPage","False","15,4"
"pages","https://solveplan.com/noticias/","Notícias","20","15","1","13","11","15%","46","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","15,9"
"pages","https://solveplan.com/eventos/","Eventos","19","14","1","16","13","19%","49","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","16,1"
"evento","https://solveplan.com/evento/sap-xfpa-innovation-day-planejamento-e-consolidacao-para-a-gestao-eficiente/","SAP XFP&amp;A Innovation Day: Planejamento e Consolidação para a Gestão Eficiente","93","81","1","9","9","0%","45","","False","18"
"evento","https://solveplan.com/evento/webinar-conectando-fluxo-de-caixa-e-orcamento-case-aco-cearense/","WEBINAR: Conectando Fluxo de Caixa e Orçamento: Case Aço Cearense","77","302","1","9","9","0%","44","","False","18"
"evento","https://solveplan.com/evento/solveplan-no-sap-now-ai-tour-brazil-2025-com-ia-e-performance/","SolvePlan no SAP NOW AI Tour Brazil 2025 com IA e Performance","73","214","1","9","9","0%","44","","False","18"
"evento","https://solveplan.com/evento/webinar-rfi-revisao-financeira-integrada-entre-o-sap-ibp-e-sap-analytics/","WEBINAR: (RFI) Revisão Financeira Integrada entre o SAP IBP e SAP Analytics","87","315","1","9","9","0%","45","","False","18"
"evento","https://solveplan.com/evento/sap-btp-experience-em-2025/","SAP BTP Experience em 2025","38","49","1","9","9","0%","45","","False","18"
"pages","https://solveplan.com/aceleradores/","Aceleradores","24","151","1","20","19","5%","41","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","True","18,3"
"noticia","https://solveplan.com/noticia/solveplan-recebe-o-premio-de-quote-achiever-no-ecossistema-sap-no-q1-e-q2-de-2024/","SolvePlan Recebe o Prêmio de ‘Quote Achiever’ no Ecossistema SAP no Q1 e Q2 de 2024","95","89","1","10","9","10%","45","","False","18,6"
"case","https://solveplan.com/case/matrix-energia/","Matrix Energia realiza consolidação societária através do SAP Analytics Cloud  ","91","193","1","9","8","11%","45","","False","18,7"
"posts","https://solveplan.com/blog/planejamento-de-rh-guia-completo-para-elaborar-o-seu/","Planejamento de RH: guia completo para elaborar o seu","65","215","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/sap-analytics-cloud-quais-seus-beneficios-para-a-governanca-de-dados-2/","SAP Analytics Cloud: como ele apoia a consolidação e planejamento empresarial?","90","192","1","9","7","22%","53","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/como-o-sap-analytics-cloud-impulsiona-a-consolidacao-do-agronegocio/","Como o SAP Analytics Cloud impulsiona a consolidação do agronegócio?","80","182","1","9","7","22%","53","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/clean-core/clean-core-em-data-analytics-como-ele-melhora-a-gestao-de-dados/","Clean Core em Data &#038; Analytics: como ele melhora a gestão de dados?","83","182","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/sap-business-data-cloud-tudo-o-que-voce-precisa-saber/","SAP Business Data Cloud: tudo o que você precisa saber!","67","199","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/quais-as-principais-tendencias-de-tecnologia-e-negocios-para-2025/","Quais as principais tendências de tecnologia e negócios para 2025?","78","105","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"case","https://solveplan.com/case/zilor-implementa-sac-em-6-meses-e-elimina-uso-de-planilhas-eletronicas/","Zilor implementa SAC em 6 meses e elimina uso de planilhas eletrônicas","82","180","1","9","7","22%","44","","False","19,3"
"posts","https://solveplan.com/blog/por-que-investir-em-data-analytics-e-tao-importante/","Por que investir em Data &#038; Analytics é tão importante?","70","328","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/sap-analytics-cloud-quais-seus-beneficios-para-a-governanca-de-dados/","SAP Analytics Cloud: Quais seus benefícios para a governança de dados?","82","281","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/quais-as-vantagens-da-consolidacao-atraves-do-sap-analytics-cloud/","Quais as vantagens da consolidação através do SAP Analytics Cloud?","78","259","1","9","7","22%","53","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/planejamento-financeiro/planejamento-financeiro-2026/","Planejamento financeiro 2026: como estruturar o orçamento com o SAC Planning?","89","215","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/sap-business-data-cloud/o-que-muda-com-a-chegada-do-sap-business-data-cloud/","O que muda com a chegada do SAP Business Data Cloud?","64","156","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/checklist-dados-processos-inicio-do-ano/","Checklist estratégico 2026: o que revisar nos dados e processos neste início de ano","95","182","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/planilhas/por-que-planilhas-nao-sao-suficientes-para-decisoes-estrategicas/","Por que planilhas não são suficientes para decisões estratégicas?","77","158","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/planejamento-financeiro/health-analytics-como-melhorar-o-planejamento-da-industria-da-saude/","Health Analytics: como melhorar o planejamento da indústria da saúde?","81","73","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/sap-business-ai-platform/","SAP Business AI Platform: o que mudou no SAPPHIRE 2026","94","167","1","9","7","22%","51","Person","False","19,3"
"posts","https://solveplan.com/blog/sap-business-data-cloud-governanca-financeira/","SAP Business Data Cloud: 5 desafios na governança financeira","72","158","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/sap-joule-work/","SAP Joule Work: de assistente de chat a camada operacional do ERP","77","170","1","9","7","22%","50","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","19,3"
"posts","https://solveplan.com/blog/sap-knowledge-graph/","SAP Knowledge Graph: a camada que faz os agentes SAP entenderem o seu negócio","67","162","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;Question;Answer","False","19,3"
"posts","https://solveplan.com/blog/sap-business-data-cloud-knowledge-core/","SAP Business Data Cloud (BDC) como Knowledge Core: por que os agentes SAP precisam conhecer a sua empresa, não só o SAP","76","205","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;FAQPage;Question;Answer","False","19,3"
"noticia","https://solveplan.com/noticia/solveplan-e-reconhecida-no-sap-partner-success-meeting-q1-2025-em-3-categorias/","Solveplan é reconhecida no SAP Partner Success Meeting Q1/2025 em 3 categorias","90","122","1","9","9","0%","45","","False","21"
"noticia","https://solveplan.com/noticia/melhor-parceira-do-ecossistema-sap-2022/","Melhor parceira do ecossistema SAP 2022","51","82","1","9","9","0%","45","","False","21"
"noticia","https://solveplan.com/noticia/sap-partner-awards-2026-solveplan-lac/","SolvePlan é reconhecida no SAP Partner Awards 2026 para América Latina (LAC)","88","148","1","10","9","10%","45","","False","21,6"
"evento","https://solveplan.com/evento/sap-btp-experience-2026/","SAP BTP Experience 2026","35","142","1","9","8","11%","45","","False","21,7"
"evento","https://solveplan.com/evento/sap-innovation-day-dados-ia-sap-bdc/","SAP Innovation Day | Data Foundation First","54","145","2","12","8","33%","44","FAQPage;Question;Answer;Event;Place;Organization","False","22"
"posts","https://solveplan.com/blog/sap-anthropic-parceria/","SAP e Anthropic: por que o Claude se tornou o motor de raciocínio dos agentes SAP","59","164","1","9","7","22%","53","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/projecoes-imprecisas-como-evitar-erros-estrategicos/","Projeções imprecisas: como evitar erros estratégicos?","65","155","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/sap-analytics-cloud-como-ele-favorece-o-fluxo-de-caixa/","SAP Analytics Cloud: como ele favorece o fluxo de caixa?","68","148","1","9","7","22%","53","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/gestao-de-ambientes-sap-datasphere/","Gestão de ambientes SAP Datasphere: por que a tela nativa mostra o sintoma, mas não resolve o problema","70","138","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/qual-o-papel-da-sustentacao-de-projetos-no-planejamento-orcamentario/","Qual o papel da sustentação de projetos no planejamento orçamentário?","81","154","1","9","7","22%","54","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"case","https://solveplan.com/case/m-dias-branco-implementa-sap-analytics-cloud-em-10-meses-com-96-de-reducao/","M. Dias Branco implementa SAP Analytics Cloud em 10 meses com 96% de redução tempo nas operações orçamentárias","122","135","1","9","7","22%","46","","False","22,3"
"posts","https://solveplan.com/blog/ams-como-ele-impulsiona-as-solucoes-analiticas-da-sua-empresa/","AMS: como ele impulsiona as soluções analíticas da sua empresa?","75","154","1","9","7","22%","53","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/sap-datasphere-como-ajuda-no-planejamento-empresarial/","SAP Datasphere: como ajuda no planejamento empresarial?","67","153","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/sap-bdc-com-cloud-ia-joule/","Joule e SAP BDC: o que muda com a IA integrada à governança de dados?","81","137","1","9","7","22%","54","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/consolidacao-societaria-o-que-e-e-quais-os-seus-beneficios-2/","Consolidação societária: o que é e quais os seus benefícios?","72","153","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/sap-analytics-cloud/sap-analytics-cloud-como-ele-revoluciona-a-consolidacao-societaria/","SAP Analytics Cloud: como ele revoluciona a consolidação societária?","80","150","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/por-que-automatizar-o-planejamento-orcamentario-2/","Por que automatizar o planejamento orçamentário?","60","255","1","9","7","22%","52","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/gestao-de-dados-como-realizar-de-forma-eficiente-nas-empresas/","Gestão de dados: como realizar de forma eficiente nas empresas?","75","149","1","9","7","22%","53","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"posts","https://solveplan.com/blog/planejamento-de-rh/planejamento-de-rh-quais-os-maiores-desafios-e-como-supera-los/","Planejamento de RH: quais os maiores desafios e como superá-los?","76","151","1","9","7","22%","50","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","22,3"
"noticia","https://solveplan.com/noticia/melhor-parceiro-sap-business-data-cloud-2025/","Solveplan é reconhecida no Partner Excellence Awards 2025 como Melhor Parceiro SAP Business Data Cloud","114","154","1","12","8","33%","46","","False","23"
"evento","https://solveplan.com/evento/solveplan-no-sap-now-ai-tour-brazil-2026/","Solveplan no SAP NOW AI Tour 2026","53","146","1","9","8","11%","45","FAQPage;Question;Answer","False","24,7"
"case","https://solveplan.com/case/lins-agroindustrial-sap-analytics-cloud/","Lins Agroindustrial migra do SAP BPC para o SAC e reduz 90% do tempo de processamento","53","122","1","12","10","17%","46","","False","25"
"posts","https://solveplan.com/blog/gestao-de-consumo-sap-bdc-custos/","Gestão de consumo no SAP BDC: por que empresas são surpreendidas com custos não planejados","56","133","1","10","8","20%","49","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting;FAQPage;Question;Answer","False","25,2"
"posts","https://solveplan.com/blog/governanca-dados-financeiros-sap-bdc/","Governança de dados financeiros: Como estruturar e escalar com SAP BDC","60","141","1","9","7","22%","51","Place;PostalAddress;Organization;ImageObject;WebSite;WebPage;Person;BlogPosting","False","25,3"
